labID,age,error,depth,cc,d.R,d.STD,t.a,t.b
Pb210_1,-47,4,1705,0,0,0,33,34
Pb210_2,-44,4,1705.5,0,0,0,33,34
Pb210_3,-37,5,1706.5,0,0,0,33,34
Pb210_4,-27,6,1707.5,0,0,0,33,34
Pb210_5,-15,8,1708.5,0,0,0,33,34
Pb210_6,3,11,1709.5,0,0,0,33,34
Pb210_7,23,13,1710.5,0,0,0,33,34
Pb210_8,38,16,1711.5,0,0,0,33,34
Pb210_9,54,18,1712.5,0,0,0,33,34
Pb210_10,71,20,1713.5,0,0,0,33,34
Pb210_11,88,23,1714.5,0,0,0,33,34
UGAMS-35703,910,25,1731.25,1,0,0,3,4
Poz-92325,1915,30,1761.25,1,0,0,3,4
UGAMS-35704,3040,20,1800.25,1,0,0,3,4
DeA-26056,4197,35,1831,1,0,0,3,4
Poz-92326,5370,40,1851.25,1,0,0,3,4
DeA-34989,5733,27,1860.5,1,0,0,3,4
UGAMS-35705,6000,25,1869.75,1,0,0,3,4
DeA-34991,6511,34,1871,1,0,0,3,4
DeA-26058,7511,38,1885,1,0,0,3,4
DeA-26060,7931,42,1892.5,1,0,0,3,4
Poz-92327,8410,50,1899.25,1,0,0,3,4
UGAMS-38338,8590,20,1907.5,1,0,0,3,4
DeA-26062,9312,40,1923.5,1,0,0,3,4
Poz-80180,9810,10,1938.75,1,0,0,3,4
UGAMS-35701,10460,30,1952.75,1,0,0,3,4
UGAMS-30706,10190,30,1965.25,1,0,0,3,4
UGAMS-35702,10610,30,1969.75,1,0,0,3,4
